20234567,예약대기,금,강의실 / 2025-11-22
11,예약대기,2025-11-21,산학협력관 / 501
99,승인,2025-11-22,정보관 / 101
20212979,승인,2025-11-22,정보관 / 501
hello,승인,2025-11-22,산학협력관 / 401
20212979,승인,2025-11-22,정보관 / 501
99,승인,2025-11-22,정보관 / 101
20212979,승인,2025-11-22,정보관 / 501
99,승인,2025-11-22,정보관 / 101
20212979,예약대기,2025-11-22,정보관 / 501
99,승인,2025-11-22,정보관 / 101
20212979,거절,2025-11-22,정보관 / 501
20212979,거절,2025-11-22,정보관 / 501
20212979,승인,2025-11-22,정보관 / 501
20212979,예약대기,2025-11-22,정보관 / 501
20212979,승인,2025-11-22,정보관 / 501
20212979,승인,2025-11-22,정보관 / 501
hello,승인,2025-11-22,산학협력관 / 401
99,예약대기,2025-11-22,정보관 / 101
99,승인,2025-11-22,정보관 / 101
20212979,예약대기,2025-11-22,정보관 / 501
99,예약대기,2025-11-22,정보관 / 101
20212979,예약대기,2025-11-22,정보관 / 501
20212979,예약대기,2025-11-22,정보관 / 501
20212979,예약대기,2025-11-22,정보관 / 501
20212979,예약대기,2025-11-22,정보관 / 501
20212979,예약대기,2025-11-22,정보관 / 501
pp,거절,2025-11-23,산학협력관 / 401
pp,승인,2025-11-23,산학협력관 / 401
20221234,승인,2025-11-26,산학협력관 / 401
20205555,거절,2025-11-25,경영관 / 001
20205555,거절,2025-11-25,경영관 / 001
